ENSSFOT00015019419 ENSSFOG00015012345
ENSPKIT00000011840 ENSPKIG00000011676
ENSPKIT00000011853 ENSPKIG00000011676
ENSPNAT00000029738 ENSPNAG00000026378
ENSPNAT00000039608 ENSPNAG00000026378
ENSAMXT00000042686 ENSAMXG00000032060
ENSIPUT00000031483 ENSIPUG00000020444
ENSIPUT00000031489 ENSIPUG00000020444
ENSDART00000034686 ENSDARG00000024846
ENSPFOT00000004262 ENSPFOG00000004405
ENSPLAT00000002662 ENSPLAG00000011148
ENSPMET00000021864 ENSPMEG00000016382
ENSXMAT00000025467 ENSXMAG00000026428
ENSXMAT00000030778 ENSXMAG00000026428
ENSXMAT00000036587 ENSXMAG00000026428
ENSXCOT00000021879 ENSXCOG00000016159
ENSCVAT00000004513 ENSCVAG00000008319
ENSFHET00000000375 ENSFHEG00000010761
ENSKMAT00000010463 ENSKMAG00000007738
