ENSPMAT00000004867 ENSPMAG00000004416
ENSEBUT00000005542 ENSEBUG00000003519
ENSCPBT00000005731 ENSCPBG00000003780
ENSCPBT00000005754 ENSCPBG00000003780
ENSCPBT00000005788 ENSCPBG00000003780
ENSCPRT00005018311 ENSCPRG00005010931
ENSARWT00000029702 ENSARWG00000017781
ENSCCET00000028128 ENSCCEG00000016835
ENSPMJT00000008910 ENSPMJG00000005371
ENSFALT00000002338 ENSFALG00000002237
ENSZALT00000006684 ENSZALG00000004157
ENSZALT00000006688 ENSZALG00000004157
ENSMVIT00005006322 ENSMVIG00005004228
ENSMVIT00005006330 ENSMVIG00005004228
ENSMVIT00005006353 ENSMVIG00005004228
ENSMVIT00005006388 ENSMVIG00005004228
ENSLCOT00000024712 ENSLCOG00000016407
ENSLCOT00000024713 ENSLCOG00000016407
ENSABRT00000004810 ENSABRG00000003143
ENSAPLT00000013130 ENSAPLG00000012609
ENSGALT00000084946 ENSGALG00000046180
ENSGALT00000092521 ENSGALG00000046180
ENSCJPT00005034777 ENSCJPG00005020068
ENSNMET00000021880 ENSNMEG00000013021
ENSPVIT00000016373 ENSPVIG00000010131
ENSPVIT00000016375 ENSPVIG00000010131
ENSPVIT00000016377 ENSPVIG00000010131
ENSACAT00000009915 ENSACAG00000009854
ENSNSUT00000003511 ENSNSUG00000002633
ENSNSUT00000003513 ENSNSUG00000002633
ENSSMRT00000017137 ENSSMRG00000011443
ENSSMRT00000017138 ENSSMRG00000011443
ENSSPUT00000006993 ENSSPUG00000005015
ENSPCIT00000015382 ENSPCIG00000009739
ENSMEUT00000007750 ENSMEUG00000007717
ENSSHAT00000016967 ENSSHAG00000014311
ENSMODT00000012461 ENSMODG00000009788
ENSCCNT00000024034 ENSCCNG00000018664
ENSDORT00000009986 ENSDORG00000009986
ENSMSIT00000047193 ENSMSIG00000031166
ENSMSIT00000047194 ENSMSIG00000031166
