ENSCAFT00020007665 ENSCAFG00020005369
ENSVVUT00000048378 ENSVVUG00000026360
ENSEEUT00000009432 ENSEEUG00000009453
ENSCAPT00000013695 ENSCAPG00000011336
ENSCPOT00000032205 ENSCPOG00000036276
ENSODET00000011894 ENSODEG00000008708
ENSCLAT00000013965 ENSCLAG00000009546
ENSHGLT00100014134 ENSHGLG00100010342
ENSHGLT00000001305 ENSHGLG00000000984
ENSFDAT00000030011 ENSFDAG00000018068
ENSTSYT00000033225 ENSTSYG00000035869
ENSNVIT00000016653 ENSNVIG00000011218
ENSMPUT00000012837 ENSMPUG00000012728
ENSUAMT00000001708 ENSUAMG00000001419
ENSUMAT00000033449 ENSUMAG00000020543
ENSAMET00000015683 ENSAMEG00000014298
ENSSART00000002634 ENSSARG00000002654
ENSMSIT00000003843 ENSMSIG00000002817
ENSMUST00000051572 ENSMUSG00000045954
