ENSBTAT00000005584 ENSBTAG00000038541
ENSBMUT00000004114 ENSBMUG00000002790
ENSBBBT00000008912 ENSBBBG00000012952
ENSCHIT00000031051 ENSCHIG00000020873
ENSCHIT00000031056 ENSCHIG00000020873
ENSEEUT00000011386 ENSEEUG00000011407
ENSECAT00000025123 ENSECAG00000023471
ENSUAMT00000028596 ENSUAMG00000019922
ENSUMAT00000039279 ENSUMAG00000023935
ENSAMET00000009898 ENSAMEG00000009025
ENSMPUT00000000712 ENSMPUG00000000701
ENSNVIT00000014291 ENSNVIG00000009657
ENSCAFT00020004941 ENSCAFG00020003529
ENSCAFT00000047552 ENSCAFG00000030461
ENSVVUT00000002325 ENSVVUG00000001298
ENSPPRT00000016769 ENSPPRG00000010083
ENSPTIT00000030602 ENSPTIG00000021605
ENSFCAT00000056777 ENSFCAG00000042630
ENSPSMT00000019364 ENSPSMG00000011864
ENSMICT00000059420 ENSMICG00000033568
ENSMICT00000032050 ENSMICG00000033568
ENSPCOT00000028840 ENSPCOG00000020986
ENSOGAT00000024466 ENSOGAG00000032797
ENSPPAT00000037692 ENSPPAG00000030668
ENSPTRT00000095055 ENSPTRG00000041282
ENSGGOT00000034646 ENSGGOG00000023048
ENST00000444149 ENSG00000234284
ENST00000519896 ENSG00000234284
ENST00000522442 ENSG00000234284
ENST00000521285 ENSG00000234284
ENSPPYT00000033921 ENSPPYG00000029650
ENSNLET00000001782 ENSNLEG00000001439
ENSNLET00000043728 ENSNLEG00000001439
ENSMLET00000064510 ENSMLEG00000044457
ENSTGET00000025491 ENSTGEG00000017252
ENSTGET00000025492 ENSTGEG00000017252
ENSMFAT00000017697 ENSMFAG00000039136
ENSMFAT00000017701 ENSMFAG00000039136
ENSMFAT00000017705 ENSMFAG00000039136
ENSMFAT00000017709 ENSMFAG00000039136
ENSMMUT00000065353 ENSMMUG00000002484
ENSMMUT00000040559 ENSMMUG00000002484
ENSMNET00000037087 ENSMNEG00000030724
ENSMNET00000037092 ENSMNEG00000030724
ENSPANT00000046776 ENSPANG00000032345
ENSCATT00000034365 ENSCATG00000029400
ENSCSAT00000006546 ENSCSAG00000008491
ENSPTET00000041000 ENSPTEG00000028902
ENSCANT00000061242 ENSCANG00000042681
ENSRBIT00000064487 ENSRBIG00000043646
ENSRBIT00000064488 ENSRBIG00000043646
ENSRBIT00000064489 ENSRBIG00000043646
ENSRBIT00000064490 ENSRBIG00000043646
ENSRBIT00000064491 ENSRBIG00000043646
ENSRROT00000035963 ENSRROG00000030257
ENSCCAT00000026005 ENSCCAG00000022061
ENSSBOT00000028076 ENSSBOG00000022474
