ENSCAFT00020025289 ENSCAFG00020017265
ENSGALT00000083555 ENSGALG00000010110
ENSMUST00000062824 ENSMUSG00000048772
ENSMUST00000106434 ENSMUSG00000048772
ENST00000372237 ENSG00000126106
ENST00000372243 ENSG00000126106
ENST00000372242 ENSG00000126106
ENSMUST00000106433 ENSMUSG00000048772
ENSMUST00000125943 ENSMUSG00000048772
ENST00000372235 ENSG00000126106
ENSCAFT00000037053 ENSCAFG00000004791
ENSCAFT00000046361 ENSCAFG00000004791
ENST00000420706 ENSG00000126106
ENST00000372244 ENSG00000126106
ENSBTAT00000016415 ENSBTAG00000012372
